id,providerId,firstName,lastName,fullName,dateOfBirth,nationality,gender,disciplines,metadata,height
1005571,67725a1d-f084-45ca-a21e-d4447003a965,Hendrik,FELDWEHR,Hendrik FELDWEHR,1986-08-18,GER,M,['SW'],{},192.0
1038376,f1761049-0858-4a45-b842-b63d6f679228,Raquel,FELGUEIRAS,Raquel FELGUEIRAS,1980-02-01,POR,F,['SW'],{},
1020068,c6d3eaf1-7fb2-40f4-b3c9-8730a503ea89,Beatrice,FELICI,Beatrice FELICI,2000-04-04,SMR,F,['SW'],{},171.0
1056909,6dd15508-cb37-4b2f-900d-37ab674528a6,Ronald,FELIPE,Ronald FELIPE,2001-07-11,DOM,M,['SW'],{},
1014601,599f255e-de5a-47f4-b89f-5781aab732c3,Eric,FELIX,Eric FELIX,,BRA,M,['SW'],{},
1048584,dfd9d3e4-ae97-46b9-af7b-6a23b2b92882,Delron,FELIX,Delron FELIX,2000-10-20,GRN,M,['SW'],{},
1014594,422ac190-4da2-4855-8554-925fdba68f96,Fernanda,FELIX,Fernanda FELIX,1992-01-01,BRA,F,['SW'],{},
1037115,9dfd6808-4b9d-4ecb-a813-7017aa6f93a6,Noemi,FELIZ,Noemi FELIZ,1988-09-27,ESP,F,['SW'],{},
1015652,c8a9303e-f3a1-4667-a051-88e8c4c73bb4,Joao,FELIZARDO,Joao FELIZARDO,1990-01-01,RSA,M,['SW'],{},
1150600,775244e5-ea93-426f-b4fd-2847219d667e,Laszlo,FELKAI,Laszlo FELKAI,1941-03-01,HUN,M,"['SW', 'WP']",{},
1014730,fe638207-1c15-40a0-82c2-076dcdda4a0c,Andrew,FELL,Andrew FELL,1987-01-01,RSA,M,['SW'],{},
1074687,ad81f185-a39c-4a90-8280-e01440dd6aa2,Roberta,FELOTTI,Roberta FELOTTI,1964-10-22,ITA,F,['SW'],{},
1756111,c798a37b-5fcb-4b66-a5f8-3909f28d764b,Stefan,FELSNER,Stefan FELSNER,1993-01-21,CLB,M,['SW'],{},
1090420,3f672d84-b2f2-4eb8-a8ca-3c9ec6ab0dcc,Jessica Christina,FELSNER,Jessica Christina FELSNER,1995-07-12,GER,F,['SW'],{},
1037944,68b0a15f-bff8-47d4-84fc-dfe58952523f,Thomas,FELTEN,Thomas FELTEN,,NED,M,['SW'],{},
1190344,52c3dfb0-4ee7-4156-bc72-704c39970682,Herman,FEN,Herman FEN,2002-12-06,UKR,M,['SW'],{},
1631237,33f72e8c-ab7d-4a62-899c-7598c11c19dd,J Asdad,FENELUS,J Asdad FENELUS,1996-10-17,HAI,M,['SW'],{},
1024173,fd55bafd-7b57-437b-acb4-fdb1d2093123,Ze,FENG,Ze FENG,1992-01-01,CLB,M,['SW'],{},
1047584,30fec8af-cff4-4d7e-8f86-c6ca3dde9727,Yongfu,FENG,Yongfu FENG,,CLB,M,['SW'],{},
1010672,cd0c80ed-033b-45fc-9f59-6bb2aae1fcfb,Zhimin,FENG,Zhimin FENG,1989-10-16,CHN,M,"['OW', 'SW']",{},
1064443,d90e04bd-6766-43c7-ae4d-88aff53f3d7a,Qiangbiao,FENG,Qiangbiao FENG,1965-03-20,CHN,M,['SW'],{},
1054029,d5fe6684-f25d-4497-ba0b-792e85420053,Min,FENG,Min FENG,,CHN,M,['SW'],{},
1023515,5299e479-e962-4ec0-ac67-a20d23efa1ff,Qinglu,FENG,Qinglu FENG,2001-01-01,CLB,F,['SW'],{},
1054033,afcaeb0d-b0e5-489d-b2f4-364ead600315,Cuiping,FENG,Cuiping FENG,,CLB,F,['SW'],{},
1143193,407921b2-ab6d-460d-8bd0-2f5a003b8348,Da-Wei,FENG,Da-Wei FENG,1965-12-06,CHN,M,['SW'],{},
1048810,15dcb978-bb9f-46c2-b0f5-428a3fda6dd7,Ru,FENG,Ru FENG,,CHN,F,['SW'],{},
1022239,84e44abf-d3f4-4475-967a-16f1db7a98b2,Qing He Jerome,FENG,Qing He Jerome FENG,1999-07-30,SGP,M,['SW'],{},
1023557,c09bc0c2-1f75-46ca-9670-0e702ecfd67c,Junyang,FENG,Junyang FENG,1998-12-29,CHN,F,['SW'],{},
1746691,c9bec9f4-7fd6-487c-877d-9848a0f5966a,Larry,FENI,Larry FENI,2005-12-12,UGA,M,['SW'],{},
1836264,d94d90a0-884f-44bb-af51-276adf17ad2a,Nec,FENK,Nec FENK,1993-07-03,USA,M,['SW'],{},
1048620,36fcb869-c1aa-4709-948c-028a36f36fb6,Bogodar,SZPAK,Bogodar SZPAK,,BRA,M,['SW'],{},
1164201,9c701113-a6b7-4c06-8a6c-676dbab043af,Ilia,SZRAJBMAN,Ilia SZRAJBMAN,1907-04-25,POL,M,['SW'],{},
1019663,23170ea2-85c3-40eb-a681-b6df041efc6d,Dominika,SZTANDERA,Dominika SZTANDERA,1997-01-19,POL,F,['SW'],{},174.0
1030178,2047891a-e9e5-436c-80ee-fbeae87ae7af,Dora,SZTANKOVICS,Dora SZTANKOVICS,1999-03-08,HUN,F,"['OW', 'SW']",{},
1007185,486b3b44-336c-41fa-b9cd-1b23316eaf8a,Anna,SZTANKOVICS,Anna SZTANKOVICS,1996-01-10,HUN,F,['SW'],{},177.0
1168181,aee991f9-bc52-42ad-aab6-62d2a6e6b5b3,Angyalka,SZTAZICS,Angyalka SZTAZICS,2003-02-16,CLB,F,['SW'],{},
1279685,8a19f196-6d9c-4cdf-9981-b17cc5cfeb10,Christian,SZTOLCMAN,Christian SZTOLCMAN,2000-02-12,POL,M,['SW'],{},
1050508,57ccb570-6195-42e4-a6ff-164a74a37c8e,Michal,SZUBA,Michal SZUBA,1993-04-15,POL,M,['SW'],{},
1835779,7315147e-97b0-45ad-8f7f-588e10055958,Szabuszteun,SZUBI,Szabuszteun SZUBI,1996-03-11,HUN,M,['SW'],{},
1216030,2e07b0c7-a325-48f8-aa69-02862fecfb2a,Adam Zoltan,SZUCS,Adam Zoltan SZUCS,2004-07-15,CLB,M,['SW'],{},
1038290,95d35902-a852-4e64-a9e5-eea58b6d7e1f,Tamas,SZUCS,Tamas SZUCS,1981-02-18,HUN,M,['SW'],{},
1020611,63f79339-de84-4eb1-bccd-c25426330544,Bence,SZUCSIK,Bence SZUCSIK,1998-06-24,HUN,M,['SW'],{},176.0
1060882,883cdb7b-136b-4879-a7a8-d45c0914ffdf,Rafal,SZUKALA,Rafal SZUKALA,1971-04-09,POL,M,['SW'],{},
1005304,1c8dc204-bbf1-4ba1-b447-529b70274fb8,Dawid,SZULICH,Dawid SZULICH,1990-05-19,POL,M,['SW'],{},194.0
1040410,bb12798d-a3f3-4db4-8177-40ac06cecf2d,Brent,SZURDOKI,Brent SZURDOKI,1996-09-18,RSA,M,['SW'],{},170.0
1168123,6a9a1e16-7883-4b1b-984e-62201992e137,Ivett,SZUROVCSJAK,Ivett SZUROVCSJAK,1998-09-15,HUN,F,['SW'],{},
1064206,fc29f4bd-2a94-4f1b-ac5b-8cb815e0917d,Boles Aw,SZUTER,Boles Aw SZUTER,,POL,M,['SW'],{},
1056501,0413e74c-2f82-4bd8-a55e-29b196aba8e1,Dawid,SZWEDZKI,Dawid SZWEDZKI,1994-04-18,POL,M,['SW'],{},
1050165,e976cfb9-2f42-4fa1-86b5-588e06f7744b,Ashley,SZYDEL,Ashley SZYDEL,1995-10-25,HON,F,['SW'],{},
1020636,6f190b2b-e2c5-4e43-8e4f-9dda11bf27ca,Andrew,SZYDEL,Andrew SZYDEL,1997-09-25,HON,M,['SW'],{},162.0
1050218,1dc6a6ef-6583-4571-9394-f7ae6deea1cb,Paulina,SZYDLO,Paulina SZYDLO,1992-02-26,POL,F,['SW'],{},
1608117,6a6f9596-4452-4dab-975b-631041ff87ed,Johann Hayman Quinton,SZYMANSKI,Johann Hayman Quinton SZYMANSKI,2005-04-10,AUS,M,['SW'],{},
1836287,dd78089a-b4ba-4bb1-94c1-4a2373d0b2e2,Tuletu,TA FLUN,Tuletu TA FLUN,1995-06-02,CIV,F,['SW'],{},
1397304,9a0fd253-1369-4dac-8dcb-bd04ff37f376,Marya,TABBARA,Marya TABBARA,2002-07-08,LBN,F,['SW'],{},
1010964,831263e2-d530-4735-97dc-6a3497de70d6,Eri,TABEI,Eri TABEI,1988-01-13,JPN,F,['SW'],{},
1043006,45a198b4-9451-44c6-be27-90140cdf8bfd,Zoltan,TABI,Zoltan TABI,2002-03-17,HUN,M,"['OW', 'SW']",{},
1039370,b8e91150-cfc3-4b05-9e2d-709d13471713,John,TABONE,John TABONE,1980-05-04,MLT,M,['SW'],{},
1224155,7e9bb68f-3216-45bd-b507-919e8523ecd4,Schastine,TABOR,Schastine TABOR,2005-02-18,DEN,F,['SW'],{},
1189604,bd365baf-b0e7-4930-8541-d79f134beba5,Kaito,TABUCHI,Kaito TABUCHI,2002-07-01,JPN,M,['SW'],{},
1038252,5a23ed01-14fe-425e-ae50-95d041ddb4aa,Susumu,TABUCHI,Susumu TABUCHI,1980-07-02,JPN,M,['SW'],{},
1038267,70ef784b-6df4-44b5-b82d-4308fae0ffcc,Pilin,TACHAKITTIRANAN,Pilin TACHAKITTIRANAN,1983-06-14,THA,F,['SW'],{},
1024948,bcbe4397-abfc-4c3c-a0da-80acee2bd2b3,Sana,TACHIBANA,Sana TACHIBANA,1998-01-27,JPN,F,['SW'],{},
1190994,e9688914-38dc-4490-95a0-77345cc7ac0e,Defne,TACYILDIZ,Defne TACYILDIZ,2003-02-05,TUR,F,['SW'],{},170.0
1008227,a2a37224-28bf-452f-b74a-59d3df5c5d1e,Kuninori,TADA,Kuninori TADA,1992-05-02,JPN,M,['SW'],{},
1011235,6a657ed2-ef58-44d2-989b-d1447cb3fd34,Stacey,TADD,Stacey TADD,1989-02-21,GBR,F,['SW'],{},
1098054,7c59b526-c186-4a32-9859-c98639f62034,Ginevra,TADDEUCCI,Ginevra TADDEUCCI,1997-05-03,ITA,F,"['OW', 'SW']",{},
1056529,03b1fef8-fbca-4942-9648-90f3e9221a50,Tina,TADIC,Tina TADIC,2003-01-08,BIH,F,['SW'],{},
1550740,51c64368-6e76-408d-8ec0-598a75a14804,Bertalan,TADITS,Bertalan TADITS,2008-01-13,CLB,M,['SW'],{},
1008287,f91043d9-2623-4bfc-9a26-fdb07f168544,Haruka,TADOKORO,Haruka TADOKORO,1990-10-06,JPN,F,['SW'],{},
1835892,8a400323-b704-44cf-b014-7f4ea7b1093c,Funny,TAEJINSULI,Funny TAEJINSULI,1996-02-06,FIN,F,['SW'],{},
1000267,4bc6d5f4-5a14-4dcb-8280-88e39eea8120,Joyce,TAFATATHA,Joyce TAFATATHA,1998-04-18,MAW,F,['SW'],{},
1020676,7e9aa634-c6b2-4217-8df3-420c5bfb22fb,Nigorahon,TAGANOVA,Nigorahon TAGANOVA,2000-02-18,TKM,F,['SW'],{},163.0
1074395,0bf90691-f7c0-4f6d-8038-1681c20ba0ba,Henrik,TAGESSON,Henrik TAGESSON,,SWE,M,['SW'],{},
1298404,e5f9c12b-b907-4c6f-b06c-34f67dbb5251,Maria,TAGILTCEVA,Maria TAGILTCEVA,2003-05-30,CLB,F,['SW'],{},
1050520,84615159-bffb-4e90-b4d7-32b5d9752e8f,David,TAGLIAFERRO,David TAGLIAFERRO,,VEN,M,['SW'],{},
1143305,8084233a-c811-427f-a764-6201e7182122,Carlotta,TAGNIN,Carlotta TAGNIN,1965-01-28,ITA,F,['SW'],{},
1010900,2be30042-fd8d-40b0-86b1-66c7f87e8105,Ryoya,TAGUCHI,Ryoya TAGUCHI,1986-11-02,JPN,M,['SW'],{},
1022671,3c14c470-393f-4194-96cc-b4e0382d0c14,Masashi,TAGUCHI,Masashi TAGUCHI,1996-09-04,JPN,M,['SW'],{},
1006659,fd6bef97-a356-49af-a95d-1602d2567f03,Naoki,TAGUCHI,Naoki TAGUCHI,1994-08-28,JPN,M,['SW'],{},
1112793,e6128ef4-9a22-4f6d-b700-0c5cf0e0dc79,Nobutaka,TAGUCHI,Nobutaka TAGUCHI,1951-06-18,JPN,M,['SW'],{},
1128641,ee68ac9c-e1b4-423d-b0cd-f55515689af7,Ross,MARTIN,Ross MARTIN,,GBR,M,['SW'],{},
1294431,35065de5-75ed-4164-88aa-4da52e7ab541,Tayla,MARTIN,Tayla MARTIN,1999-01-30,AUS,F,"['OW', 'SW']",{},
1600053,ea74a2a3-23f5-45ac-b91b-cfc69ecf0713,Noa,MARTIN,Noa MARTIN,2007-10-18,ESP,F,"['OW', 'SW']",{},
1190197,35464560-6924-4d6e-ad79-7c7f7d305332,Marcos,MARTIN BURGUILLO,Marcos MARTIN BURGUILLO,2002-01-11,ESP,M,['SW'],{},
1158998,c8e14222-fd32-4834-b695-751b2638bd08,Raul,MARTIN FERNANDEZ,Raul MARTIN FERNANDEZ,1941-07-03,CUB,M,['SW'],{},
1440182,f279591d-f325-401d-8c54-0116e5619371,Graham,MARTIN-DYE,Graham MARTIN-DYE,,GBR,M,['SW'],{},
1156462,8fda4c65-0c14-43c8-baf4-018c0d8c41ca,John,MARTIN-DYE,John MARTIN-DYE,1940-05-21,GBR,M,['SW'],{},
1161402,7c75eb3c-c9da-497a-b4b9-23ab66515a6a,Fernand,MARTINAUX,Fernand MARTINAUX,,FRA,M,['SW'],{},
1039337,a7a4faf3-c031-40f0-92ca-e99356d56786,Leah S,MARTINDALE,Leah S MARTINDALE,1978-06-27,BAR,F,['SW'],{},
1682413,d0a2ce90-d99a-4454-af93-be43eb5bfb67,Lorenzo,MARTINELLI,Lorenzo MARTINELLI,2004-06-25,CLB,M,['SW'],{},
1020424,1007129e-9555-4751-a0d8-1765e7ce0a05,Nicolo,MARTINENGHI,Nicolo MARTINENGHI,1999-08-01,ITA,M,['SW'],{},187.0
1282935,55b62a60-1d34-4ab6-86ee-547a567411c7,Alexan,MARTINENKO SPIESS,Alexan MARTINENKO SPIESS,,BRA,M,"['OW', 'SW']",{},
1124474,b387a279-5aaf-4512-8dec-fff35fe62bf1,Johanna,MARTINEZ,Johanna MARTINEZ,,FRA,F,['SW'],{},
1203406,68836d80-7d48-4ad7-aa29-21ec677cd2e1,Miguel,MARTINEZ,Miguel MARTINEZ,2000-11-10,ESP,M,['SW'],{},
1459221,6dd38574-e333-48c6-85e8-6a6e1dc498df,Danna,MARTINEZ,Danna MARTINEZ,2006-05-24,ECU,F,"['OW', 'SW']",{},
1512719,9b8e3cfe-0e18-4aba-9d03-9bfd7c7b7b5e,Ike,MARTINEZ,Ike MARTINEZ,2006-10-12,AUS,M,['SW'],{},
1050900,2935bff2-b6ec-40b1-a1c6-f594809f8911,Perla,MARTINEZ,Perla MARTINEZ,,HON,F,['SW'],{},
1209921,970cc831-fa45-4c0c-bf7b-fa9ef0613f9c,Alejandra,MARTINEZ,Alejandra MARTINEZ,2004-01-02,BOL,F,['SW'],{},
1019882,7bb52d7c-68b1-4009-b5f0-a9377abdc01d,Luis Carlos,MARTINEZ,Luis Carlos MARTINEZ,1995-12-11,GUA,M,['SW'],{},182.0
1050263,a606d540-b200-466c-b1e2-a4aad5fce72f,Alfredo,MARTINEZ,Alfredo MARTINEZ,1991-06-24,MEX,M,['SW'],{},
1158983,be1316a8-4bc3-4726-8dc0-b1a2ed7a5d2f,Sergio,MARTINEZ,Sergio MARTINEZ,,COL,M,['SW'],{},
1016595,268d87ad-4871-4bdd-acdb-b2a38e3f5604,Enzo,MARTINEZ,Enzo MARTINEZ,1994-08-15,URU,M,['SW'],{},190.0
1159005,cb547199-317a-4be6-9d96-80b55a16c463,Gilberto,MARTINEZ,Gilberto MARTINEZ,,COL,M,['SW'],{},
1155145,a3cb9ba2-24ec-444a-8f56-8d87e369acd9,Juan,MARTINEZ,Juan MARTINEZ,1946-09-25,ESP,M,['SW'],{},
1041960,45e388d4-2f49-4dba-ada6-8c6a2a0342b4,Gustavo Adolfo,MARTINEZ,Gustavo Adolfo MARTINEZ,,HON,M,['SW'],{},
1013941,1116b94e-8308-4ece-b179-13fcd488c33e,Imelda,MARTINEZ,Imelda MARTINEZ,1982-07-16,MEX,F,"['OW', 'SW']",{},
1056554,3092643b-3c57-40d3-b6d5-297121f99586,Alberto,MARTINEZ,Alberto MARTINEZ,1998-06-27,ESP,M,"['OW', 'SW']",{},
1020772,ab529b86-4a41-4581-9824-2d5cf74a43d5,Jose,MARTINEZ,Jose MARTINEZ,1997-06-03,MEX,M,['SW'],{},180.0
1312022,15cead90-9524-43bd-bd9a-4b4eb463d4a6,Gabriel,MARTINEZ,Gabriel MARTINEZ,2004-05-05,HON,M,['SW'],{},
1059918,ffa7b6f6-ad74-4453-aa35-4ec241d80bce,Jose,MARTINEZ,Jose MARTINEZ,,COL,M,['SW'],{},
1157925,95bf1339-1c54-4080-b95e-51dc5ee06534,Eulalia,MARTINEZ,Eulalia MARTINEZ,1939-04-22,MEX,F,['SW'],{},
1050353,7fd17b4e-89a7-4071-a321-2f2a87945a04,Rodrigo,MARTINEZ AGUILAR,Rodrigo MARTINEZ AGUILAR,1994-06-04,MEX,M,['SW'],{},
1025900,0a6f8014-05d3-4b8c-9385-f8824f597e8c,Raul Enrique,MARTINEZ COLOMER,Raul Enrique MARTINEZ COLOMER,1988-04-11,PUR,M,['SW'],{},
1039301,89e82d6d-ea6d-4d87-a261-4448a0b52c4f,German Elberto,MARTINEZ DÍAZ,German Elberto MARTINEZ DÍAZ,1979-06-05,COL,M,['SW'],{},
1161522,ee2a1d05-5f2c-4bb1-b88b-e10572cd4bab,Isidoro,MARTINEZ FERRY,Isidoro MARTINEZ FERRY,1925-01-17,ESP,M,['SW'],{},
1049000,ecf85662-68dc-4a75-8481-ddcd75559e4c,Jose Manuel,MARTINEZ GONZALEZ,Jose Manuel MARTINEZ GONZALEZ,,PAR,M,['SW'],{},
1338167,c8cea461-998a-406f-8a25-b63e09a2ae72,Angela,MARTINEZ GUILLEN,Angela MARTINEZ GUILLEN,2004-03-18,ESP,F,"['OW', 'SW']",{},
1154547,8ef15ce4-7c74-43af-9e41-cb173938e590,Jose,MARTINEZ NARANJO,Jose MARTINEZ NARANJO,1952-07-07,CUB,M,['SW'],{},
1599712,09a4d82f-95e6-41af-b3dd-bbe5b1199980,Pablo,MARTINEZ PALOP,Pablo MARTINEZ PALOP,2007-06-30,ESP,M,"['OW', 'SW']",{},
1017028,eab1ab0c-22f5-46b6-b4f6-9c4970496a8f,Aitor,MARTINEZ RODRIGUEZ,Aitor MARTINEZ RODRIGUEZ,1993-08-22,ESP,M,['SW'],{},183.0
1454649,581f87e5-44b5-4b21-bcb1-cbf54de1d6b0,Ivan,MARTINEZ SOTA,Ivan MARTINEZ SOTA,2005-06-16,ESP,M,['SW'],{},
1539504,9fb26597-1409-467e-9ab1-f25514711916,Arianis Yasmin,MARTINEZ TAMAYO,Arianis Yasmin MARTINEZ TAMAYO,2003-06-27,PAN,F,['SW'],{},
1050513,4e49c0cb-8c42-4cef-8c8c-33582806b6cd,Catia,MARTINHEIRA,Catia MARTINHEIRA,1995-09-26,POR,F,['SW'],{},
1007535,7cb081c3-99a4-43b8-8a90-26e4c8b4c8c1,Tereza,MARTINKOVA,Tereza MARTINKOVA,1992-11-23,CZE,F,['SW'],{},
1063641,783de0e1-2230-4513-a187-4d4216b70ca1,Angel,MARTINO,Angel MARTINO,1967-04-25,USA,F,['SW'],{},
1413581,18cd5b4b-f3ca-49a9-ad0a-4893ee37563b,Matej,MARTINOVIC,Matej MARTINOVIC,2006-09-08,SVK,M,['SW'],{},
1528846,5ce41956-7d91-4b01-abd1-d7be3a717917,Ivan,MARTINOVIC,Ivan MARTINOVIC,2001-03-26,SRB,M,"['SY', 'SW']",{},
1124987,e2c3454f-afeb-4d17-aa79-6c45c16039cb,Miki,MARTINOVIC,Miki MARTINOVIC,,CAN,M,['SW'],{},
1000741,c8df6ff8-1fd9-4aa3-a18a-b901aced4ce8,Henrique,MARTINS,Henrique MARTINS,1991-11-14,BRA,M,['SW'],{},
1012416,0e4d283f-7d31-4bcf-acb2-8065a0089613,Lucas,MARTINS,Lucas MARTINS,1990-06-25,BRA,M,['SW'],{},
1063782,aa5495d2-191c-4633-8949-ed4f0d8a39cc,Rui,BORGES,Rui BORGES,1967-06-04,POR,M,['SW'],{},
1014591,2eeb95c7-6c00-44e5-8c39-f107dd6803c7,Thalandra,BORGES,Thalandra BORGES,1989-04-29,BRA,F,['SW'],{},
1038541,f0382324-0fa6-41ae-9fad-8e5c74c95015,Luiz Gustavo,BORGES,Luiz Gustavo BORGES,1999-05-21,BRA,M,['SW'],{},199.0
1128249,11e08e5e-10e9-4a1a-901d-88f0c283ece3,Fabiano,BORGES,Fabiano BORGES,,BRA,M,['SW'],{},
1145521,275af821-5175-4047-9791-adb36521ad50,Valeri,BORGES FERNANDES,Valeri BORGES FERNANDES,,BRA,F,['SW'],{},
1038551,9a4c53c1-af2a-4c3d-aacd-7f68e16bfb81,Carlos Alberto,BORGES JAYME,Carlos Alberto BORGES JAYME,1980-06-13,BRA,M,['SW'],{},
1149857,b9693f0a-c522-46f8-93ed-9f59750c0d5b,Lars,BORGESEN,Lars BORGESEN,1954-03-06,DEN,M,['SW'],{},
1144729,457734d5-c965-4e43-bdd1-a43d7314d13e,Brenda Grace,BORGH,Brenda Grace BORGH,1960-10-27,USA,F,['SW'],{},
1046121,7207797e-c21c-45c3-99e7-7478a78bd13e,Cedric,BORGHESI,Cedric BORGHESI,,FRA,M,['SW'],{},
1117281,dbb74b23-7f25-4233-bb9e-b6f6bb10c79b,Alessandro,BORGIALLI,Alessandro BORGIALLI,,ITA,M,['SW'],{},
1149986,f3491788-e7b3-47d2-9eb5-eee2ad86c24f,Silvia Elisabeth,BORGINI,Silvia Elisabeth BORGINI,1957-10-22,ARG,F,['SW'],{},
1060802,170a9bb1-bff2-408a-9486-9fdc5af9327c,Ellen,BORGO,Ellen BORGO,,BRA,F,['SW'],{},
1138488,f6f24707-c40c-4613-aee5-d59a2f5cd511,Arne,BORGSTROM,Arne BORGSTROM,1959-01-19,NOR,M,['SW'],{},
1020867,d6a36d74-69ef-429e-9bcf-f549283fe969,Alessandro,BORI,Alessandro BORI,1997-02-05,ITA,M,['SW'],{},192.0
1156493,a52c5321-4f71-48e6-9736-0e0da1e53258,Francoise,BORIE,Francoise BORIE,1947-02-16,FRA,F,['SW'],{},
1012788,9f7e2dc7-b3f1-43b1-9486-3be54314ff9e,Niklas,BORIN,Niklas BORIN,1989-08-03,SWE,M,['SW'],{},
1138356,896f8505-10d5-4d2c-8cf9-a8b9c1c272a3,Olivier,BORIOS,Olivier BORIOS,1959-06-23,FRA,M,['SW'],{},
1035852,4502782e-a41e-409e-830f-e95f591726bf,Alexis,BORISAVLJEVIC,Alexis BORISAVLJEVIC,1997-05-02,BEL,M,['SW'],{},
1056690,4579345a-ad09-497e-bfb7-db1d4929e262,Valentin,BORISAVLJEVIC,Valentin BORISAVLJEVIC,1997-05-02,BEL,M,['SW'],{},
1039258,64ca8426-0680-4af1-bbb7-d09b9738f66e,Sergey,BORISENKO,Sergey BORISENKO,1971-05-28,KAZ,M,['SW'],{},
1160288,7c08bbd4-fc7a-4f86-ac86-ec7e57da6f31,Vladimir,BORISENKO,Vladimir BORISENKO,,URS,M,['SW'],{},
1083396,6e851645-9ec1-4a3d-9970-302b2aacfaba,Oleg,BORISENKO,Oleg BORISENKO,,URS,M,['SW'],{},
1012342,8aca1a64-5f7b-4abe-8862-18520db5e336,Ilya,BORISENKO,Ilya BORISENKO,1993-03-23,RUS,M,['SW'],{},
1080013,1ec9445a-48e1-485d-a159-e979691d9789,Aleksei,BORISLAVSKI,Aleksei BORISLAVSKI,1968-11-17,URS,M,['SW'],{},
1257020,c72bb357-41a8-4f70-9b41-4a3015246f78,Nikita,BORISOV,Nikita BORISOV,1997-06-06,CLB,M,['SW'],{},
1035970,68afe547-bca4-4fbe-b091-9ceba4a96361,Vitalij,BORISOV,Vitalij BORISOV,1990-09-01,RUS,M,['SW'],{},
1160182,274b556a-2d84-4bfb-b250-5fbe34d08b58,Cesar,BORJA,Cesar BORJA,,MEX,M,['SW'],{},
1144987,cf384b45-955f-4260-a0f2-de0381ae6aa4,Edwin,BORJA,Edwin BORJA,1958-07-06,PHI,M,['SW'],{},
1047658,fa78ffa3-adfc-4585-85ba-a6dfe7ba9c69,Simon,BORJESON,Simon BORJESON,,SWE,M,['SW'],{},
1044213,8c4ff793-be38-4712-83b4-653b40017ae3,Ida,BORJESSON,Ida BORJESSON,,SWE,F,['SW'],{},
1047993,8688d97b-5de5-4498-bedb-eb13859eb24d,Jacek,BORKOWSKI,Jacek BORKOWSKI,,POL,M,['SW'],{},
1122599,c02d90fd-8210-4bf8-99a1-11c42e75c749,Diana,BORLAND,Diana BORLAND,,GBR,F,['SW'],{},
